itemId;quantity
105.899.990.101;44
105.855.047.311;58
105.554.293.150;100
ATR.99.530;25
105.554.293.002;10
105.554.293.156;2
105.554.293.003;10
105.554.293.001;15
894.1A.030;1
105.554.253.003;2
